IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.91.69,4,4,0.00,352.26,0.00,N/A
172.66.41.25,4,4,0.00,352.54,0.00,N/A
104.17.69.244,4,4,0.00,352.64,0.00,N/A
104.17.139.37,4,4,0.00,352.65,0.00,N/A
172.66.41.64,4,4,0.00,352.99,0.00,N/A
162.159.45.136,4,4,0.00,353.49,0.00,N/A
162.159.140.85,4,4,0.00,353.65,0.00,N/A
172.64.229.54,4,4,0.00,353.68,0.00,N/A
162.159.140.116,4,4,0.00,353.96,0.00,N/A
198.41.194.162,4,4,0.00,354.35,0.00,N/A
104.18.166.129,4,4,0.00,354.41,0.00,N/A
172.64.52.234,4,4,0.00,354.55,0.00,N/A
162.159.44.24,4,4,0.00,354.57,0.00,N/A
104.18.7.165,4,4,0.00,354.70,0.00,N/A
104.16.181.74,4,4,0.00,355.02,0.00,N/A
104.17.191.168,4,4,0.00,355.50,0.00,N/A
104.26.4.90,4,4,0.00,355.72,0.00,N/A
64.29.17.1,4,4,0.00,355.78,0.00,N/A
162.159.39.98,4,4,0.00,355.86,0.00,N/A
162.159.44.41,4,4,0.00,356.51,0.00,N/A
104.17.228.170,4,4,0.00,356.64,0.00,N/A
104.18.28.107,4,4,0.00,357.06,0.00,N/A
108.162.198.100,4,4,0.00,357.54,0.00,N/A
104.17.155.145,4,4,0.00,357.58,0.00,N/A
76.76.21.21,4,4,0.00,358.81,0.00,N/A
